"Country","C/T?","Year","Status","Political_Rights","Civil_Liberties","Total_Score","Population","GDP_per_Capita"
"Montenegro","c",2022,"PF",26,41,67,617213,27027.48297441
"Morocco","c",2022,"PF",13,24,37,37457971,9547.6640625
"Mozambique","c",2022,"PF",14,29,43,32969518,1477.34939961028
"Myanmar","c",2022,"NF",0,9,9,54179306,5019.73973180583
"Namibia","c",2022,"F",31,46,77,2567012,11531.3005163764
"Nauru","c",2022,"F",34,43,77,12668,13021.398870157
"Nepal","c",2022,"PF",25,32,57,30547580,4726.60650378106
"Netherlands","c",2022,"F",39,58,97,17700982,70869.4073819731
"New Zealand","c",2022,"F",40,59,99,5124100,52149.2368958824
"Nicaragua","c",2022,"NF",5,18,23,6948392,6877.07083200217
"Niger","c",2022,"PF",23,28,51,26207977,1505.54264771219
"Nigeria","c",2022,"PF",20,23,43,218541212,5862.23507005742
"North Macedonia","c",2022,"PF",28,39,67,2057679,20328.8526880125
"Norway","c",2022,"F",40,60,100,5457127,114929.521014913
"Oman","c",2022,"NF",6,18,24,4576298,41738.1607783558
"Pakistan","c",2022,"PF",15,22,37,235824862,6351.00252324571
"Panama","c",2022,"F",35,48,83,4408581,39292.6875051924
"Papua New Guinea","c",2022,"PF",23,39,62,10142619,4432.7896182552
"Paraguay","c",2022,"PF",28,37,65,6780744,15982.6044425
"Peru","c",2022,"F",30,42,72,34049588,15052.5031043298
"Philippines","c",2022,"PF",25,30,55,115559009,10136.5527084588
"Poland","c",2022,"F",34,47,81,36821749,44134.6183100063
"Portugal","c",2022,"F",39,56,95,10409704,41862.7227829248
"Qatar","c",2022,"NF",7,18,25,2695122,114049.227996855
"Romania","c",2022,"F",35,48,83,19047009,41259.5414075682
"Rwanda","c",2022,"NF",8,14,22,13776698,2793.1850208006
"Samoa","c",2022,"F",32,51,83,222382,6089.55885236503
"Sao Tome and Principe","c",2022,"F",35,49,84,227380,4061.80808115283
"Saudi Arabia","c",2022,"NF",1,6,7,36408820,59279.8900475083
"Senegal","c",2022,"PF",29,39,68,17316449,4210.35927863676
"Serbia","c",2022,"PF",21,41,62,6664449,23914.1741899681
"Seychelles","c",2022,"F",34,45,79,119878,29771.7466102443
"Sierra Leone","c",2022,"PF",28,37,65,8605718,1930.90072713085
"Singapore","c",2022,"PF",19,28,47,5637022,127606.814763458
"Slovenia","c",2022,"F",38,52,90,2111986,48302.5266436187
"Solomon Islands","c",2022,"F",30,49,79,724273,2654.97032846244
"Somalia","c",2022,"NF",1,6,7,17597511,1710.96228128642
"South Africa","c",2022,"F",33,46,79,59893885,15920.4254097241
"Spain","c",2022,"F",37,53,90,47778340,46331.6521079884
"Sri Lanka","c",2022,"PF",23,32,55,22181000,14410.1880225641
"St. Kitts and Nevis","c",2022,"F",35,54,89,47657,33981.8395952354
"St. Lucia","c",2022,"F",38,54,92,179857,17835.6975441173
"St. Vincent and the Grenadines","c",2022,"F",36,55,91,103948,17212.4297036525
"Sudan","c",2022,"NF",0,10,10,46874204,4217.421875
"Suriname","c",2022,"F",34,45,79,618040,17773.4839559165
"Sweden","c",2022,"F",40,60,100,10486941,65156.9537033837
"Switzerland","c",2022,"F",39,57,96,8775760,84649.9398990745
"Tajikistan","c",2022,"NF",0,8,8,9952787,4886.74399157372
"Tanzania","c",2022,"PF",12,22,34,65497748,3099.17333984375
"Thailand","c",2022,"NF",5,24,29,71697030,20679.1194757004
"Timor-Leste","c",2022,"F",33,39,72,1341296,4657.38225133718
"Togo","c",2022,"PF",15,27,42,8848699,2601.75000924947
"Trinidad and Tobago","c",2022,"F",33,49,82,1531044,27515.526422483
"Tunisia","c",2022,"PF",26,38,64,12356117,12483.6306945385
"Tuvalu","c",2022,"F",37,56,93,11312,5423.04866832283
"Uganda","c",2022,"NF",11,23,34,47249585,2693.10830508653
"Ukraine","c",2022,"PF",26,35,61,3.8e+07,12675.4365234375
"United Arab Emirates","c",2022,"NF",5,12,17,9441129,88488.9846057784
"United Kingdom","c",2022,"F",39,54,93,66971395,54929.8346212468
"United States","c",2022,"F",32,51,83,333287557,76329.5822652032
"Uruguay","c",2022,"F",40,57,97,3422794,28851.5401574871
"Uzbekistan","c",2022,"NF",2,9,11,35648100,9535.66969063583
"Vanuatu","c",2022,"F",33,49,82,326740,3290.56937087758
"Zambia","c",2022,"PF",21,30,51,20017675,3975.60063934688
"Zimbabwe","c",2022,"NF",11,17,28,16320537,2607.92767806131
